Country or region,Metric,Score,Year
Finland,Score,7.769,2019
Finland,GDP per capita,1.34,2019
Finland,Social support,1.587,2019
Finland,Healthy life expectancy,0.986,2019
Finland,Freedom to make life choices,0.596,2019
Finland,Generosity,0.153,2019
Finland,Perceptions of corruption,0.393,2019
Finland,Score,7.632,2018
Finland,GDP per capita,1.305,2018
Finland,Social support,1.592,2018
Finland,Healthy life expectancy,0.874,2018
Finland,Freedom to make life choices,0.681,2018
Finland,Generosity,0.202,2018
Finland,Perceptions of corruption,0.393,2018
Finland,Score,7.468,2017
Finland,GDP per capita,1.443,2017
Finland,Social support,1.54,2017
Finland,Healthy life expectancy,0.809,2017
Finland,Freedom to make life choices,0.617,2017
Finland,Generosity,0.245,2017
Finland,Perceptions of corruption,0.382,2017
